,Fecha,TIPO GASTO,TC,TOTAL SAT
0,2023-01-01,ARRENDAMIENTO FINANCIERO,1.0,6439.6
1,2023-01-01,ARRENDAMIENTO FINANCIERO,1.0,6440.3
2,2023-01-01,ARRENDAMIENTO FINANCIERO,1.0,9807.07
3,2023-01-01,COMISION BANCARIA,1.0,568.4
4,2023-01-01,COMISION BANCARIA,1.0,0.0
5,2023-01-01,CAPACITACION,1.0,5213.21
6,2023-01-01,SEGUROS,1.0,1717.25
7,2023-01-01,ARRENDAMIENTO FINANCIERO,1.0,0.0
8,2023-01-01,ARRENDAMIENTO FINANCIERO,1.0,0.0
9,2023-01-01,ARRENDAMIENTO FINANCIERO,1.0,0.0
10,2023-01-01,NO DEDUCIBLE,1.0,2302.95
11,2023-01-01,COMISION BANCARIA,1.0,0.0
12,2023-01-01,PUBLICIDAD,1.0,0.0
13,2023-01-01,TELEFONO,1.0,3024.31
14,2023-01-01,MTTO COMPUTO,1.0,496.48
15,2023-01-01,COMISION MIXTA,1.0,5000.0
16,2023-01-01,COMISION MIXTA,1.0,22316.98
17,2023-01-01,COMISION BANCARIA,1.0,0.0
18,2023-01-01,COMISION BANCARIA,19.5089,0.0
19,2023-01-01,MTTO COMPUTO,1.0,2578.68
20,2023-01-01,HONORARIOS PM,1.0,2588.77
21,2023-01-01,UNIFORMES,1.0,125.07
22,2023-01-01,MONITOREO CAMARAS ADT,1.0,1684.32
23,2023-01-01,NO DEDUCIBLE,1.0,795.3
24,2023-01-01,NO DEDUCIBLE,1.0,349.0
25,2023-01-01,MONITOREO CAMARAS ADT,1.0,0.0
26,2023-01-01,MTTO COMPUTO,1.0,388.6
27,2023-01-01,MENSAJERIA,1.0,0.0
28,2023-01-01,NO DEDUCIBLE,1.0,1975.83
29,2023-01-01,NO DEDUCIBLE,1.0,2541.32
30,2023-01-01,TELEFONO,1.0,0.0
31,2023-01-01,MTTO COMPUTO,1.0,0.0
32,2023-01-01,HONORARIOS CONTABLES,1.0,5100.0
33,2023-01-01,PAQUETERIA,1.0,158.6
34,2023-01-01,MTTO COMPUTO,1.0,437.32
35,2023-01-01,ALIMENTOS,1.0,571.0
36,2023-01-01,MTTO TRANSPORTE,1.0,6650.0
37,2023-01-01,COMISION MIXTA,1.0,19920.13
38,2023-01-01,NO DEDUCIBLE,1.0,1667.75
39,2023-01-01,PAQUETERIA,1.0,527.35
40,2023-01-01,HONORARIOS PM,1.0,2310.74
41,2023-01-01,MTTO TRANSPORTE,1.0,6650.0
42,2023-01-01,VARIOS,1.0,1439.1
